index,comment,n_star,date_time,label,clean_comment,GENERAL,SCREEN,CAMERA,FEATURES,BATTERY,PERFORMANCE,STORAGE,DESIGN,PRICE,SER&ACC
10,Mọi thứ đều ngon trong tầm giá. Lần đầu xài Xiaomi cảm thấy rất hài lòng về chất lượng,5,30/05/2020,{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};,mọi thứ đều ngon trong tầm giá lần đầu xài xiaomi cảm thấy rất hài lòng về chất lượng,positive,none,none,none,none,none,none,none,neutral,positive
11,"Khá ổn trong tầm giá, cam đẹp, sạc nhanh, màn hình đẹp âm thanh hay rất phù hợp với người thích chơi game tuy nhiên màn hình hơi tối so với ngoài trời",5,3 tuần trước,{SCREEN#Neutral};{CAMERA#Positive};{FEATURES#Positive};{BATTERY#Positive};{PRICE#Neutral};{GENERAL#Positive};,khá ổn trong tầm giá cam đẹp sạc nhanh màn hình đẹp âm thanh hay rất phù hợp với người thích chơi game tuy nhiên màn hình hơi tối so với ngoài trời,positive,neutral,positive,positive,positive,none,none,none,neutral,none
12,"Đi thoại mượt chơi game ngon 
Âm báo thức bật maxloa luôn nghe vẫn nhỏ
Nhân viên phục vụ nhiệt tình",4,7/6/2019,{FEATURES#Negative};{PERFORMANCE#Positive};{SER&ACC#Positive};,đi thoại mượt chơi game ngon âm báo thức bật maxloa luôn nghe vẫn nhỏ nhân viên phục vụ nhiệt tình,none,none,none,negative,none,positive,none,none,none,positive
13,"Máy rất tốt trong tầm giá. Pin trâu, màn hình đẹp, to, camera đẹp, chơi các tựa game ở cấu hình vừa phải thì ổn, chỉ có đều là cảm biến vân tay quang học trong màn hình hơi chậm, k có hỗ trợ chụp đêm nên chụp trong đêm hơi xấu. Còn nv phục vụ nhiệt tình và chu đáo",5,16/07/2020,{SCREEN#Positive};{CAMERA#Neutral};{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};,máy rất tốt trong tầm giá pin trâu màn hình đẹp to camera đẹp chơi các tựa game ở cấu hình vừa phải thì ổn chỉ có đều là cảm biến vân tay quang học trong màn hình hơi chậm không có hỗ trợ chụp đêm nên chụp trong đêm hơi xấu còn nhân viên phục vụ nhiệt tình và chu đáo,positive,positive,neutral,negative,positive,positive,none,none,neutral,positive
14,"Mình mua dc 1 tuần máy đang phát trực tiếp tự nhiên tắt nguồn, bắt sống wifi quá yêu, hối hận",1,6 ngày trước,{FEATURES#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};,mình mua được 1 tuần máy đang phát trực tiếp tự nhiên tắt nguồn bắt sống wifi quá yêu hối hận,negative,none,none,negative,none,negative,none,none,none,none
15,"Sản phẩm quá tuyệt vời, iphone 7plus camera đẹp, chơi game thì không sợ 1 game nào nặng cả, rất mượt, nhưng game nào có đồ họa cao chơi sẽ bị sụt pin rất nhanh, máy nóng.. nhưng không sao, iphone 7 plus tuyệt vời lắm rồi",5,18/04/2018,{CAMERA#Positive};{BATTERY#Negative};{PERFORMANCE#Neutral};{GENERAL#Positive};,sản phẩm quá tuyệt vời iphone 7plus camera đẹp chơi game thì không sợ 1 game nào nặng cả rất mượt nhưng game nào có đồ họa cao chơi sẽ bị sụt pin rất nhanh máy nóng nhưng không sao iphone 7 plus tuyệt vời lắm rồi,positive,none,positive,none,negative,neutral,none,none,none,none
16,Dùng ok.. Mượt k nóng..( đt có 5 6 triệu mà mở max cấu hình ròi kêu nóng) Nhân viên nhiệt tình..,5,7/12/2019,{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};,dùng ok mượt không nóng điện thoại có 5 6 triệu mà mở max cấu hình ròi kêu nóng nhân viên nhiệt tình,positive,none,none,none,none,positive,none,none,none,positive
17,"Mới mua được 1 ngày. Ck dùng j6+, còn mình dùng con này. Wifi ck m lúc nào cũng 3 vạch, mà dt này thì lúc 2 vạch , lúc 1 vạch, lúc đứng luôn. K hieur vì sao nữa. Dùng thấy bực mình.",3,18/11/2019,{FEATURES#Negative};{OTHERS};,mới mua được 1 ngày ck dùng j6 còn mình dùng con này wifi ck mình lúc nào cũng 3 vạch mà điện thoại này thì lúc 2 vạch lúc 1 vạch lúc đứng luôn không hieur vì sao nữa dùng thấy bực mình,none,none,none,negative,none,none,none,none,none,none
18,Dùng thì cứ đơ máy bấm mãi mới khởi động lại song nóng ran lên chán ko buồn nói kêu bảo hành phần mềm chọn đời mà dùng chưa dc đã hỏng,1,5 ngày trước,{PERFORMANCE#Negative};{OTHERS};,dùng thì cứ đơ máy bấm mãi mới khởi động lại song nóng ran lên chán không buồn nói kêu bảo hành phần mềm chọn đời mà dùng chưa được đã hỏng,none,none,none,none,none,negative,none,none,none,none
19,"Lỗi phầm mềm , sạc pin ko vào , đem ra bảo trì thì cài lại máy ._. Vẫn ko hết lỗi , mua quả máy 4tr100k ram 3gb về để chơi pubg lag vãi chưởng",1,17/03/2020,{BATTERY#Negative};{PERFORMANCE#Negative};{PRICE#Neutral};,lỗi phầm mềm sạc pin không vào đem ra bảo trì thì cài lại máy _ vẫn không hết lỗi mua quả máy 4tr100k ram 3gb về để chơi pubg lag vãi chưởng,none,none,none,none,negative,negative,none,none,neutral,none
20,Máy dùng tốt với tầm giá khá nhanh nhạy pin trâu lần đâu tiên mua máy chưa tới 2tr mà ưng ghê luôn á mọi người nên mua,5,30/03/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};,máy dùng tốt với tầm giá khá nhanh nhạy pin trâu lần đâu tiên mua máy chưa tới 2tr mà ưng ghê luôn á mọi người nên mua,positive,none,none,none,positive,positive,none,none,neutral,none
21,Sạc pin 100% r để k 10h mà k hao % nào mà s mọi người cứ kêu hao pin nhanh là s nhỉ mình thasy pin rất trâu lun,5,1/7/2020,{BATTERY#Positive};{OTHERS};,sạc pin 100 rồi để không 10h mà không hao nào mà s mọi người cứ kêu hao pin nhanh là s nhỉ mình thasy pin rất trâu lun,none,none,none,none,positive,none,none,none,none,none
22,Cho mình hỏi tắt quảng cáo trên điện thoại ạ . Mới mua về vài hôm mà nó cứ tụ phát quảng cáo hoài ngày khi mình đã khoá màn hình cũng chạy quảng cáo . Mong được phản hồi,5,5/1/2020,{PERFORMANCE#Negative};{OTHERS};,cho mình hỏi tắt quảng cáo trên điện thoại ạ mới mua về vài hôm mà nó cứ tụ phát quảng cáo hoài ngày khi mình đã khoá màn hình cũng chạy quảng cáo mong được phản hồi,none,none,none,none,none,negative,none,none,none,none
23,"Tất cả mọi thứ đều ổn hết: màn hình đẹp, máy chạy êm, pin sạc nhanh, màu mặt lưng đẹp. 
Nhưng chỉ tiết ở phần thiết kế, phải chi loa ngoài được đặt ở bên hông thay vì đặt ở cạnh dưới như vầy. Tay cứ bị đè lên loa khi sử dụng í, cứ lo chính bản thân đè nhiều quá sẽ làm loa hư. 
Thêm 1 cái nhỏ xíu xiu : mới mua hôm qua được giảm 500.000đ, nay lên xem tuột xuống đươc giảm hẳn 1.000.000đ. Tức ghê 🥴🥴",4,17/01/2020,{SCREEN#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{DESIGN#Neutral};{PRICE#Negative};{GENERAL#Positive};,tất cả mọi thứ đều ổn hết màn hình đẹp máy chạy êm pin sạc nhanh màu mặt lưng đẹp nhưng chỉ tiết ở phần thiết kế phải chi loa ngoài được đặt ở bên hông thay vì đặt ở cạnh dưới như vầy tay cứ bị đè lên loa khi sử dụng í cứ lo chính bản thân đè nhiều quá sẽ làm loa hư thêm 1 cái nhỏ xíu xiu mới mua hôm qua được giảm 500 0đ nay lên xem tuột xuống đươc giảm hẳn 1 0 0đ tức ghê,positive,positive,none,none,positive,positive,none,neutral,negative,none
24,"điện thoại thiết kế sang trọng, cameraa chụp ảnh rất tốt, pin dùng ổn định, máy dùng mượt, không bị đơ",5,19/08/2018,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{DESIGN#Positive};,điện thoại thiết kế sang trọng cameraa chụp ảnh rất tốt pin dùng ổn định máy dùng mượt không bị đơ,none,none,positive,none,positive,positive,none,positive,none,none
25,"Máy màn hình lớn , nhận diện khuôn mặt nhanh ( trong đk trời sáng ) ,cấu hình tạm ổn cho các tác vụ cơ bản , pin trâu ,...NV TGDD Nhiệt Tình . Còn CTKM tặng tai nghe thì TGDD chưa làm tốt , ra mua máy thì chi nhánh tai nghe khg có hàng , phải đợi 10-15 ngày ( TGDD rút kinh nghiệm về các CTKM kiểu như vậy )",5,4/3/2019,{SCREEN#Positive};{FEATURES#Positive};{BATTERY#Positive};{PERFORMANCE#Neutral};{SER&ACC#Neutral};,máy màn hình lớn nhận diện khuôn mặt nhanh trong được trời sáng cấu hình tạm ổn cho các tác vụ cơ bản pin trâu nhân viên tgdd nhiệt tình còn ctkm tặng tai nghe thì tgdd chưa làm tốt ra mua máy thì chi nhánh tai nghe khg có hàng phải đợi 10 15 ngày tgdd rút kinh nghiệm về các ctkm kiểu như vậy,none,positive,none,positive,positive,neutral,none,none,none,neutral
26,Pin trâu . Giá rẻ. Cấu hình ngon . Mượt mà . Máy chơi game rất tốt . Nhân viên tư vấn nhiệt tình,5,7 ngày trước,{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Positive};{SER&ACC#Positive};,pin trâu giá rẻ cấu hình ngon mượt mà máy chơi game rất tốt nhân viên tư vấn nhiệt tình,none,none,none,none,positive,positive,none,none,positive,positive
27,"Không nên mua, không tương xứng trong cùng phân khúc, chụp ảnh kém mờ, được mỗi pin trâu .",1,15/03/2020,{CAMERA#Negative};{BATTERY#Positive};{PRICE#Neutral};{GENERAL#Negative};,không nên mua không tương xứng trong cùng phân khúc chụp ảnh kém mờ được mỗi pin trâu,negative,none,negative,none,positive,none,none,none,neutral,none
28,"Cập nhật lại ổn nhưng camera xấu xấu tệ, hy vọng cập nhật lại camera tốt hơn cho bản sau",3,14/06/2019,{CAMERA#Negative};{PERFORMANCE#Positive};,cập nhật lại ổn nhưng camera xấu xấu tệ hy vọng cập nhật lại camera tốt hơn cho bản sau,none,none,negative,none,none,positive,none,none,none,none
29,"Mới dùng đc tầm nửa tháng thấy khá là OK mượt
Chơi game mức độ mặc định cũng OK pin đc lâu sạc nhanh",5,18/02/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,mới dùng được tầm nửa tháng thấy khá là ok mượt chơi game mức độ mặc định cũng ok pin được lâu sạc nhanh,positive,none,none,none,positive,positive,none,none,none,none
30,"Mình mua máy samsung a20s được 4 ngày rồi. Nói chung máy xài ổn trong tầm giá, pin trâu nếu không chơi game thì xài được 2 đến 3 ngày còn chơi game như liên quân thì tầm 1 ngày. Chụp hình đẹp, máy rất mượt.
Chỉ có lâu lâu cảm biến vân tay không được nhạy, ngón tay hơi ướt xíu là máy không nhận được vân tay luôn, không có ốp lưng nên xài hơi bị xót xíu ( mình làm trong môi trường chăn nuôi bụi cám này kia nhiều ).",5,24/10/2019,{CAMERA#Positive};{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Negative};{OTHERS};,mình mua máy samsung a20s được 4 ngày rồi nói chung máy xài ổn trong tầm giá pin trâu nếu không chơi game thì xài được 2 đến 3 ngày còn chơi game như liên quân thì tầm 1 ngày chụp hình đẹp máy rất mượt chỉ có lâu lâu cảm biến vân tay không được nhạy ngón tay hơi ướt xíu là máy không nhận được vân tay luôn không có ốp lưng nên xài hơi bị xót xíu mình làm trong môi trường chăn nuôi bụi cám này kia nhiều,positive,none,positive,negative,positive,positive,none,none,neutral,negative
31,Tại sao thì thoảng tôi mở máy thì phải đợi 5-10s thì màn hình mới lên nó làm tôi thấy khó chịu còn lại thì ok,4,7/5/2020,{PERFORMANCE#Negative};{GENERAL#Positive};,tại sao thì thoảng tôi mở máy thì phải đợi 5 10s thì màn hình mới lên nó làm tôi thấy khó chịu còn lại thì ok,positive,none,none,none,none,negative,none,none,none,none
32,"iphone luôn ổn định, thiết kế không có gì mới nhưng vẫn chưa lỗi thời, mình chưa được cầm con iphone nào nhưng mình nghĩ pin của nó đủ xài trong ngày, bạn nào bảo pin nó yếu là do một ngày xài quá nhiều thôi, thích iphone từ lâu mỗi tội tài chính eo hẹp, đang tich góp để cuối năm rước một e zìa quê luôn.",5,28/05/2017,{BATTERY#Neutral};{DESIGN#Neutral};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};,iphone luôn ổn định thiết kế không có gì mới nhưng vẫn chưa lỗi thời mình chưa được cầm con iphone nào nhưng mình nghĩ pin của nó đủ xài trong ngày bạn nào bảo pin nó yếu là do một ngày xài quá nhiều thôi thích iphone từ lâu mỗi tội tài chính eo hẹp đang tich góp để cuối năm rước một e zìa quê luôn,positive,none,none,none,neutral,none,none,neutral,none,positive
33,Đã mua và đag dùng rất thất vọng camera mờ hay nổi quảng cáo.pin xuống rraats nhanh. Khuyên mọi người đừng mua..,1,22/02/2020,{CAMERA#Negative};{BATTERY#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};,đã mua và đag dùng rất thất vọng camera mờ hay nổi quảng cáo pin xuống rraats nhanh khuyên mọi người đừng mua,negative,none,negative,none,negative,negative,none,none,none,none
34,Lỗi lưu ảnh và viền 4 góc sáng . Khá là bực. Mong Xiaomi việt nam sớm có cách khắc phục,1,19/04/2020,{SCREEN#Negative};{FEATURES#Negative};{SER&ACC#Neutral};,lỗi lưu ảnh và viền 4 góc sáng khá là bực mong xiaomi việt nam sớm có cách khắc phục,none,negative,none,negative,none,none,none,none,none,neutral
35,"Tôi nghĩ rằng nó được 4 star với 1,2tr tầm giá rẻ rách, nếu như đường truyền không chập chờn thì nó sẽ được tôi đánh giá 5 star.",4,25/12/2019,{FEATURES#Negative};{PRICE#Positive};,tôi nghĩ rằng nó được 4 star với 1 2tr tầm giá rẻ rách nếu như đường truyền không chập chờn thì nó sẽ được tôi đánh giá 5 star,none,none,none,negative,none,none,none,none,positive,none
36,"Máy dùng ok, chỉ cài khóa mk, vân tay khuôn mặt rồi mà khi mở lại ko cần, vuốt là mở đc, còn lại ổn, bluetooth bình thường pin lâu, nhạc hay..",4,23/01/2020,{FEATURES#Neutral};{BATTERY#Positive};{GENERAL#Positive};,máy dùng ok chỉ cài khóa mình vân tay khuôn mặt rồi mà khi mở lại không cần vuốt là mở được còn lại ổn bluetooth bình thường pin lâu nhạc hay,positive,none,none,neutral,positive,none,none,none,none,none
37,Tgdd tôi không còn tin tưởng nữa rồi một hệ thống bán lẻ điện thoại lớn nhất vn tôi mới mua tại cửa hàng số 473 đường Kính Dương Vương làm tôi quá thất vọng cảm giấc như mình bị lừa thất vọng vô cùng luôn chắc phải chuyển qua hệ thống khác thôi,1,4 ngày trước,{SER&ACC#Negative};{OTHERS};,tgdd tôi không còn tin tưởng nữa rồi một hệ thống bán lẻ điện thoại lớn nhất vn tôi mới mua tại cửa hàng số 473 đường kính dương vương làm tôi quá thất vọng cảm giấc như mình bị lừa thất vọng vô cùng luôn chắc phải chuyển qua hệ thống khác thôi,none,none,none,none,none,none,none,none,none,negative
38,Máy chs game khá mượt.pin trâu mọi vấn đề đều ok sản phẩm trong tầm giá này là quá tuyệt vời *****,5,19/06/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};,máy chs game khá mượt pin trâu mọi vấn đề đều ok sản phẩm trong tầm giá này là quá tuyệt vời,positive,none,none,none,positive,positive,none,none,neutral,none
39,"Điện thoại đẹp, màn hình rõ, nghe gọi OK, chụp hình cũng đẹp, giá tầm này thì quá OK rồi. nhân viên TGDD thoại sơn an giang thì cực kỳ dễ thương luôn 🥰🥰🥰",5,25/01/2020,{SCREEN#Positive};{CAMERA#Positive};{FEATURES#Positive};{DESIGN#Positive};{PRICE#Positive};{SER&ACC#Positive};,điện thoại đẹp màn hình rõ nghe gọi ok chụp hình cũng đẹp giá tầm này thì quá ok rồi nhân viên tgdd thoại sơn an giang thì cực kỳ dễ thương luôn,none,positive,positive,positive,none,none,none,positive,positive,positive
40,"Xài ok, máy mượt, chụp ảnh đẹp, sạc nhanh mà sao nhiều bạn chê tào lao quá. Pin 4k mà xài 1 ngày vầy là tốt rồi",5,21/12/2019,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};{OTHERS};,xài ok máy mượt chụp ảnh đẹp sạc nhanh mà sao nhiều bạn chê tào lao quá pin 4k mà xài 1 ngày vầy là tốt rồi,positive,none,positive,none,positive,positive,none,none,none,none
41,"Với s20 ultra mức giá này bằng với Oppo find x2 thì nên mua find x2 vì Oppo hơn hẳn con ultra về cấu hình, màn hình, pin và tốc độ sạc. Ultra chỉ hơn được về chụp ảnh thôi, còn Oppo find x2 max mượt, max phê",4,10/6/2020,{SCREEN#Negative};{CAMERA#Positive};{BATTERY#Negative};{PERFORMANCE#Negative};{SER&ACC#Negative};{OTHERS};,với s20 ultra mức giá này bằng với oppo find x2 thì nên mua find x2 vì oppo hơn hẳn con ultra về cấu hình màn hình pin và tốc độ sạc ultra chỉ hơn được về chụp ảnh thôi còn oppo find x2 max mượt max phê,none,negative,positive,none,negative,negative,none,none,none,negative
42,Máy mới mua về xài được 10 bựa tự tiện bị đo treo logo 10p sau mới khỏi ding lại được. Tính năng chụp màn hình nứt nguồn với giảm âm lượng không chụp được,1,22/01/2020,{FEATURES#Negative};{PERFORMANCE#Negative};,máy mới mua về xài được 10 bựa tự tiện bị đo treo logo 10p sau mới khỏi ding lại được tính năng chụp màn hình nứt nguồn với giảm âm lượng không chụp được,none,none,none,negative,none,negative,none,none,none,none
43,"Sau 1 tuần sử dụng thì mình đánh giá như sau, về camera thì thấy cũng bình thường, cam truớc không được tốt lắm. Cấu hình không bằng con Vsmart 5tr. Máy đẹp, nhẹ, mỏng. Pin cũng tạm, mỗi ngày sạc pin 1 lần. Bạn nào mua vì màn đẹp vs camera thì nên mua. Còn mua để chơi game thì ko nên lựa",4,1/4/2020,{SCREEN#Positive};{CAMERA#Neutral};{BATTERY#Neutral};{PERFORMANCE#Negative};{DESIGN#Positive};,sau 1 tuần sử dụng thì mình đánh giá như sau về camera thì thấy cũng bình thường cam truớc không được tốt lắm cấu hình không bằng con vsmart 5tr máy đẹp nhẹ mỏng pin cũng tạm mỗi ngày sạc pin 1 lần bạn nào mua vì màn đẹp với camera thì nên mua còn mua để chơi game thì không nên lựa,none,positive,neutral,none,neutral,negative,none,positive,none,none
44,Sản phẩm không có tai nghe hả bạn mình mua mà bên tgdd noi la k có tai nghe có đúng vậy k ạ,1,29/02/2020,{OTHERS};,sản phẩm không có tai nghe hả bạn mình mua mà bên tgdd noi la không có tai nghe có đúng vậy không ạ,none,none,none,none,none,none,none,none,none,none
45,Sản phẩm đẹp. Tuyệt vời. Hi vọng trong qtrinh sd k xảy ra lỗi. Nv nhiệt tình. Ms,5,16/09/2019,{DESIGN#Positive};{SER&ACC#Positive};{OTHERS};,sản phẩm đẹp tuyệt vời hi vọng trong qtrinh sử dụng không xảy ra lỗi nhân viên nhiệt tình ms,none,none,none,none,none,none,none,positive,none,positive
46,"Mua lâu rồi. vân tay quá kém dí mãi mới mở đc, chơi game (vd liên quân) thì cảm ứng ko nhạy rất kém, máy thì rất nóng nên thỉnh thoảng bị đơ 1 tý ( ko phải do mạng hay fps)lúc chơi  , loa ngoài chơi game khá nhỏ. Nếu bạn nào hay chô game nên chọn con khác chứ con này sang chảnh thì đc.",1,7/10/2019,{FEATURES#Negative};{PERFORMANCE#Negative};{DESIGN#Positive};,mua lâu rồi vân tay quá kém dí mãi mới mở được chơi game vd liên quân thì cảm ứng không nhạy rất kém máy thì rất nóng nên thỉnh thoảng bị đơ 1 tý không phải do mạng hay fps lúc chơi loa ngoài chơi game khá nhỏ nếu bạn nào hay chô game nên chọn con khác chứ con này sang chảnh thì được,none,none,none,negative,none,negative,none,positive,none,none
47,"máy rất ok,mượt,chơi game quá đỉnh.có đều pin hơi tụt nhưng cho là ok.vừa vs túi tiền ok.",5,17/04/2019,{BATTERY#Neutral};{PERFORMANCE#Positive};{PRICE#Positive};{GENERAL#Negative};,máy rất ok mượt chơi game quá đỉnh có đều pin hơi tụt nhưng cho là ok vừa với túi tiền ok,negative,none,none,none,neutral,positive,none,none,positive,none
48,Note10 . Bin rất tệ. Máy ko xài vẫn tuột phần trăm. Vừa sạt đầy 100% pin. Để đó ko xài từ ság tới tối về nhìn lại còn 40% vậy 60% pin kia ko làm dì mà sao mất nhỉ. Máy mua dk 1 tuần rồi. Pin rất tệ,1,1/9/2019,{BATTERY#Negative};{OTHERS};,note10 pin rất tệ máy không xài vẫn tuột phần trăm vừa sạt đầy 100 pin để đó không xài từ ság tới tối về nhìn lại còn 40 vậy 60 pin kia không làm dì mà sao mất nhỉ máy mua được 1 tuần rồi pin rất tệ,none,none,none,none,negative,none,none,none,none,none
49,mình vừa mua dùng chơi game thì khỏi nói nhưng còn về xem phim trên youtube bật SD rất mờ so với điện thoại khác bật SD,5,23/12/2019,{SCREEN#Negative};{PERFORMANCE#Positive};,mình vừa mua dùng chơi game thì khỏi nói nhưng còn về xem phim trên youtube bật sử dụng rất mờ so với điện thoại khác bật sử dụng,none,negative,none,none,none,positive,none,none,none,none
50,"Máy rất xịn 
Thứ nhất : chơi game mượt với chíp snap
Thứ hai : pin trâu xài cả ngày mà còn 50% 
Thư ba : màn hình đẹp chụp hình sáng",5,31/01/2020,{SCREEN#Positive};{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,máy rất xịn thứ nhất chơi game mượt với chíp snap thứ hai pin trâu xài cả ngày mà còn 50 thư ba màn hình đẹp chụp hình sáng,positive,positive,positive,none,positive,positive,none,none,none,none
51,"Sp tuyệt vời chắt mua em nó quá... Vì chán hàng made in China rồi, người Việt dùng hàng Việt.",5,2 tuần trước,{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};,sản phẩm tuyệt vời chắt mua em nó quá vì chán hàng made in china rồi người việt dùng hàng việt,positive,none,none,none,none,none,none,none,none,positive
